EMPLOYER,title,salary,location,submit_date,start_date,status
ESURANCE INSURANCE SERVICES INC,DATA SCIENTIST,90000,"SAN FRANCISCO, CA",9/24/2015,12/10/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,125000,"SAN FRANCISCO, CA",9/24/2015,10/26/2015,CERTIFIED
CIRCLEUP NETWORK INC,DATA SCIENTIST,77064,"SAN FRANCISCO, CA",9/23/2015,10/16/2015,CERTIFIED
IBM CORPORATION,DATA SCIENTIST,85000,"CLEVELAND, OH",9/23/2015,9/30/2015,CERTIFIED
UBER TECHNOLOGIES INC,DATA SCIENTIST,95000,"SAN FRANCISCO, CA",9/22/2015,9/25/2015,CERTIFIED
ZILLOW INC,DATA SCIENTIST,100000,"SEATTLE, WA",9/22/2015,10/1/2015,CERTIFIED
RELAYRIDES INC,DATA SCIENTIST,95264,"SAN FRANCISCO, CA",9/21/2015,10/1/2015,CERTIFIED
INSIGHT STRATEGY ADVISORS LLC,DATA SCIENTIST,110000,"NEW YORK, NY",9/21/2015,9/28/2015,CERTIFIED
IMPETUS TECHNOLOGIES INC,DATA SCIENTIST,140000,"NEW YORK, NY",9/21/2015,9/28/2015,CERTIFIED
ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,140000,"SAN FRANCISCO, CA",9/21/2015,10/1/2015,WITHDRAWN
ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,140000,"SAN FRANCISCO, CA",9/21/2015,10/1/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,125000,"REDMOND, WA",9/18/2015,9/27/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,131616,"BELLEVUE, WA",9/18/2015,3/11/2016,CERTIFIED
COURSERA INC,DATA SCIENTIST,135000,"MOUNTAIN VIEW, CA",9/18/2015,10/19/2015,CERTIFIED
GOOGLE INC,DATA SCIENTIST,126000,"MOUNTAIN VIEW, CA",9/17/2015,10/5/2015,CERTIFIED
ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,140000,"SAN FRANCISCO, CA",9/17/2015,10/5/2015,WITHDRAWN
WAYFAIR LLC,DATA SCIENTIST,59738,"BOSTON, MA",9/15/2015,10/19/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,130000,"SAN FRANCISCO, CA",9/14/2015,10/5/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,118000,"REDMOND, WA",9/11/2015,9/21/2015,CERTIFIED
HUAMI INC,DATA SCIENTIST,130000,"SUNNYVALE, CA",9/11/2015,10/26/2015,CERTIFIED
VECTRA NETWORKS INC,DATA SCIENTIST,130000,"SAN JOSE, CA",9/8/2015,10/1/2015,CERTIFIED
BLUE APRON INC,DATA SCIENTIST,100000,"NEW YORK, NY",9/3/2015,9/28/2015,CERTIFIED
WAL-MART ASSOCIATES INC,DATA SCIENTIST,185000,"SAN BRUNO, CA",8/28/2015,9/14/2015,CERTIFIED
ZILLOW INC,DATA SCIENTIST,100000,"SEATTLE, WA",8/27/2015,10/1/2015,CERTIFIED
THUMBTACK INC,DATA SCIENTIST,138486,"SAN FRANCISCO, CA",8/26/2015,9/3/2015,CERTIFIED
DIGITAL REASONING SYSTEMS INC,DATA SCIENTIST,76718,"FRANKLIN, TN",8/25/2015,9/15/2015,CERTIFIED
PEGGED SOFTWARE,DATA SCIENTIST,98000,"NEW YORK, NY",8/21/2015,8/24/2015,CERTIFIED
LENDINGCLUB CORPORATION,DATA SCIENTIST,85000,"SAN FRANCISCO, CA",8/14/2015,8/24/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,130303,"MENLO PARK, CA",8/13/2015,11/9/2015,CERTIFIED
MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,"AUSTIN, TX",8/12/2015,8/20/2015,CERTIFIED
VIRTUE GROUP LLC,DATA SCIENTIST,65500,"ALPHARETTA, GA",8/11/2015,8/11/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,121000,"REDMOND, WA",8/11/2015,10/1/2015,CERTIFIED
EVENTBRITE INC,DATA SCIENTIST,125000,"SAN FRANCISCO, CA",8/11/2015,8/17/2015,CERTIFIED
NOPSEC INC,DATA SCIENTIST,125000,"BROOKLYN, NY",8/10/2015,8/10/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,125000,"REDMOND, WA",8/7/2015,8/24/2015,CERTIFIED
ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,125000,"SAN FRANCISCO, CA",8/7/2015,8/24/2015,CERTIFIED
AUTODESK INC,DATA SCIENTIST,138486,"SAN FRANCISCO, CA",8/7/2015,10/1/2015,CERTIFIED
PEEL TECHNOLOGIES INC,DATA SCIENTIST,175000,"MOUNTAIN VIEW, CA",8/7/2015,8/25/2015,WITHDRAWN
PEEL TECHNOLOGIES INC,DATA SCIENTIST,175000,"MOUNTAIN VIEW, CA",8/7/2015,8/25/2015,CERTIFIED
MAPR TECHNOLOGIES INC,DATA SCIENTIST,115000,"COLUMBUS, OH",8/3/2015,8/10/2015,CERTIFIED
CAPITAL ONE NATIONAL ASSOCIATION,DATA SCIENTIST,106600,"NEW YORK, NY",7/31/2015,8/17/2015,CERTIFIED
MAGNETIC MEDIA ONLINE INC,DATA SCIENTIST,135000,"NEW YORK, NY",7/31/2015,8/17/2015,CERTIFIED
SMULE INC,DATA SCIENTIST,145000,"SAN FRANCISCO, CA",7/31/2015,8/17/2015,CERTIFIED
WAL-MART ASSOCIATES INC,DATA SCIENTIST,103130,"BENTONVILLE, AR",7/30/2015,1/12/2016,CERTIFIED
RESOLVE TECH SOLUTIONS INC,DATA SCIENTIST,115000,"ADDISON, TX",7/29/2015,7/29/2015,CERTIFIED
LIFTPOINT CONSULTING INC,DATA SCIENTIST,75000,"EDEN PRAIRIE, MN",7/28/2015,8/10/2015,CERTIFIED
FLURISH INC,DATA SCIENTIST,125000,"SAN FRANCISCO, CA",7/28/2015,8/10/2015,CERTIFIED
GWYNNIE BEE,DATA SCIENTIST,140000,"MOUNTAIN VIEW, CA",7/24/2015,8/3/2015,CERTIFIED
OPEX ANALYTICS LLC,DATA SCIENTIST,89440,"PALO ALTO, CA",7/23/2015,8/10/2015,CERTIFIED
CAESARS ENTERPRISE SERVICES LLC,DATA SCIENTIST,81245,"LAS VEGAS, NV",7/22/2015,10/11/2015,CERTIFIED
